MmbCode,Cluster,AnniPresenza,GareMedie,EtaUltima,AnniDaChurn
BLR038 ,0,5,33.0,81.0,2
BLR050 ,1,3,9.0,80.0,6
BLR061 ,1,3,23.0,103.0,6
BLR063 ,1,2,11.0,60.0,6
BLR064 ,1,1,2.0,84.0,8
BLR072 ,1,4,23.75,71.0,4
BLR098 ,1,1,41.0,61.0,8
BLR125 ,1,3,24.0,77.0,6
BLR131 ,0,6,92.16666666666667,79.0,3
BLR159 ,1,2,12.0,78.0,1
BLR206 ,1,3,14.0,61.0,6
BLR216 ,1,4,9.75,65.0,5
BLR239 ,1,2,18.0,68.0,7
BLR242 ,0,4,38.5,61.0,5
BLR246 ,1,1,4.0,77.0,7
BLR259 ,1,1,5.0,79.0,8
BLR265 ,1,1,13.0,65.0,7
BLR267 ,4,1,1.0,55.0,7
BLR283 ,1,3,12.333333333333334,54.0,6
BLR284 ,0,7,37.57142857142857,74.0,2
BLR292 ,1,3,35.666666666666664,69.0,6
BLR301 ,4,3,9.666666666666666,29.0,6
BLR302 ,4,1,4.0,22.0,7
BLR303 ,4,2,1.5,18.0,6
BLR304 ,4,1,1.0,16.0,6
BLR305 ,4,1,1.0,21.0,7
BLR306 ,1,3,2.6666666666666665,66.0,5
BLR307 ,4,1,2.0,18.0,7
BLR309 ,0,5,19.2,71.0,2
BLR313 ,4,1,2.0,15.0,6
BLR314 ,4,1,1.0,16.0,6
BLR315 ,4,1,1.0,15.0,6
BLR316 ,4,1,12.0,35.0,6
BLR321 ,1,2,2.5,74.0,2
BLR322 ,1,1,1.0,61.0,5
BLR325 ,1,1,2.0,68.0,5
BLR334 ,1,1,1.0,73.0,5
BLR336 ,0,3,38.666666666666664,57.0,2
BLR339 ,1,2,7.5,55.0,2
BLR340 ,1,2,4.5,52.0,1
BLR344 ,1,1,1.0,54.0,2
BLS009 ,1,1,40.0,90.0,8
BLS013 ,1,1,1.0,98.0,6
BLS017 ,1,3,22.333333333333332,82.0,6
BLS049 ,0,7,67.42857142857143,91.0,2
BLS062 ,3,4,12.75,36.0,5
BLS063 ,4,1,2.0,21.0,7
BLS066 ,4,1,2.0,18.0,6
BLS072 ,1,1,8.0,67.0,4
BLT005 ,0,8,19.5,76.0,1
BLT008 ,1,3,41.333333333333336,79.0,6
BLT017 ,1,5,20.4,66.0,4
BLT018 ,0,5,64.2,90.0,3
BLT022 ,1,2,2.5,86.0,1
BLT025 ,1,1,1.0,75.0,7
BLT027 ,1,2,1.5,92.0,7
BLT032 ,1,1,2.0,78.0,7
BLT033 ,1,1,1.0,82.0,6
BLT037 ,0,5,30.8,78.0,2
BLT044 ,1,2,6.5,57.0,4
BLT066 ,1,4,16.25,79.0,4
BLT068 ,0,6,15.166666666666666,83.0,1
BLT071 ,1,2,1.5,84.0,2
BLT101 ,0,4,62.75,89.0,5
BLT122 ,1,2,7.0,86.0,7
BLT137 ,0,8,33.125,64.0,1
BLT141 ,0,7,35.142857142857146,69.0,1
BLT148 ,0,6,43.0,74.0,3
BLT154 ,0,6,16.5,80.0,3
BLT162 ,1,3,14.333333333333334,71.0,6
BLT165 ,4,1,1.0,19.0,7
BLT166 ,4,1,1.0,20.0,7
BLT168 ,4,1,4.0,21.0,6
BLT169 ,4,1,1.0,17.0,6
BLT175 ,1,2,3.0,78.0,1
BLV003 ,1,3,25.333333333333332,83.0,6
BLV019 ,4,1,1.0,25.0,7
BLX001 ,1,1,7.0,78.0,6
BLX002 ,4,1,3.0,23.0,7
BLY001 ,1,1,1.0,64.0,4
BLY004 ,0,7,6.857142857142857,77.0,2
BLY010 ,1,3,11.666666666666666,75.0,6
BLZ001 ,1,3,26.0,77.0,6
BLZ015 ,1,4,33.25,76.0,5
BLZ017 ,0,6,7.333333333333333,82.0,1
BLZ024 ,1,3,18.666666666666668,99.0,6
BLZ049 ,1,4,38.75,79.0,5
