MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BGQ001 ,2017,2021,5,65.0,F,39.2,196.0,28.50789364369104,19924.4,99622.0,54310.0,271550.0,16.0,21.0,21.0,1P,MS,False,True,LAZ,UNIVERSITA' DEL BRIDGE,Agonista,True,4,5.0,0.36686294655515905,Centro,69.0,3
BGR008 ,2017,2024,8,79.0,F,53.75,430.0,41.15736351406114,0.0,0.0,979.125,7833.0,2.0,5.0,5.0,4Q,3F,False,False,EMI,SPORT CLUB  DIL. RAPID,Ordinario Sportivo,True,1,3.0,0.0,Nord-Est,80.0,0
BGR013 ,2019,2022,4,67.0,M,10.0,40.0,16.06237840420901,19.5,78.0,99.75,399.0,0.0,0.0,0.0,NC,NC,True,False,LOM,BRIDGE VARESE,Scuola Bridge,True,3,0.0,0.195,Nord-Ovest,70.0,0
BGR026 ,2017,2021,5,87.0,M,80.8,404.0,60.222088970742284,676.0,3380.0,25926.8,129634.0,14.0,11.0,14.0,1Q,2C,False,False,LAZ,TEX BRIDGE,Ordinario Sportivo,True,4,-3.0,0.026073205538627686,Centro,91.0,3
BGR032 ,2017,2024,8,87.0,M,68.75,550.0,66.6906504477416,0.0,0.0,1900.375,15203.0,4.0,7.0,7.0,4P,3C,False,False,MAR,ANKON BRIDGE – RIVIERA DEL CONERO,Ordinario Sportivo,True,1,3.0,0.0,Centro,88.0,0
BGS016 ,2017,2024,5,78.0,F,10.6,53.0,6.877499545619759,0.0,0.0,73.6,368.0,0.0,0.0,0.0,NC,NC,False,False,VEN,STELLIN NELDA,Aderente,True,1,0.0,0.0,Nord-Est,79.0,0
BGY001 ,2017,2023,6,86.0,F,33.0,198.0,20.668817092422103,0.0,0.0,523.6666666666666,3142.0,2.0,5.0,5.0,4Q,3F,False,False,EMI,BRIDGE BOLOGNA,Ordinario Sportivo,True,2,3.0,0.0,Nord-Est,88.0,0
BHZ001 ,2017,2023,6,77.0,F,56.0,336.0,62.11602047781233,230.0,1380.0,2974.1666666666665,17845.0,6.0,8.0,8.0,3Q,3P,False,False,LAZ,ROMA TOP BRIDGE,Ordinario Amatoriale,True,2,2.0,0.07732825282976577,Centro,79.0,0
BJL001 ,2017,2023,7,89.0,M,6.142857142857143,43.0,9.873003113348567,71.42857142857143,500.0,665.7142857142857,4660.0,2.0,0.0,2.0,4Q,NC,False,False,   ,E.T.D.SECONDARIO            ,Ordinario Amatoriale,True,2,-2.0,0.10727311735679039,Altro,91.0,0
BLB021 ,2017,2020,4,86.0,F,66.0,264.0,32.55764119219941,406.25,1625.0,4177.25,16709.0,7.0,8.0,8.0,3C,3P,True,False,PUG,BRIDGE CLUB DELFINI JONICI,Ordinario Sportivo,True,5,1.0,0.09724715739078396,Sud,91.0,0
BLC007 ,2017,2019,3,76.0,F,20.0,60.0,15.620499351813308,3566.6666666666665,10700.0,9796.333333333334,29389.0,6.0,11.0,12.0,3Q,2C,False,True,TOS,CIRCOLO DEL BRIDGE FI,Ordinario Sportivo,True,6,5.0,0.3640694113644097,Centro,82.0,0
BLC018 ,2017,2023,6,85.0,M,27.333333333333332,164.0,16.464102364437203,461.6666666666667,2770.0,8462.166666666666,50773.0,12.0,12.0,12.0,2P,2P,False,False,LOM,BERGAMASCA BRIDGE,Ordinario Sportivo,True,2,0.0,0.05455548115177059,Nord-Ovest,87.0,0
BLC022 ,2017,2020,4,65.0,M,56.75,227.0,26.625489040892123,11516.0,46064.0,49500.0,198000.0,16.0,18.0,18.0,1P,HQ,False,True,VEN,A.BR.NINO MARCON VE,Agonista,True,5,2.0,0.2326452896702542,Nord-Est,70.0,3
BLC139 ,2017,2020,4,85.0,M,30.25,121.0,17.78341924377874,360.0,1440.0,2143.25,8573.0,3.0,6.0,7.0,4C,3Q,False,False,LOM,MOTO CLUB MILANO SSD A RL,Ordinario Sportivo,True,5,3.0,0.16794961511546536,Nord-Ovest,90.0,0
BLC156 ,2017,2023,6,77.0,F,19.333333333333332,116.0,10.93008081702357,0.0,0.0,1119.8333333333333,6719.0,6.0,5.0,6.0,3Q,3F,False,False,PIE,BRIDGE TORINO,Ordinario Sportivo,True,2,-1.0,0.0,Nord-Ovest,79.0,0
BLC177 ,2017,2024,8,89.0,M,53.625,429.0,58.67084333076232,650.0,5200.0,4958.125,39665.0,8.0,10.0,10.0,3P,2Q,False,False,LOM,IL BRIDGE,Ordinario Sportivo,True,1,2.0,0.13109464024605455,Nord-Ovest,90.0,0
BLC178 ,2017,2024,8,71.0,M,13.125,105.0,11.038083425771237,0.0,0.0,423.25,3386.0,2.0,0.0,5.0,4Q,NC,False,False,LOM,BRESCIA BRIDGE,Ordinario Sportivo,True,1,-2.0,0.0,Nord-Ovest,72.0,0
BLC180 ,2017,2021,5,72.0,M,36.6,183.0,14.99333185119305,360.0,1800.0,4710.4,23552.0,7.0,7.0,8.0,3C,3C,False,False,MAR,B.RIVIERA PALME S.BENEDETTO T.,Ordinario Sportivo,True,4,0.0,0.07642338555598013,Centro,76.0,0
BLC187 ,2017,2020,4,79.0,F,45.25,181.0,26.335970332101557,0.0,0.0,827.0,3308.0,0.0,5.0,5.0,NC,3F,True,False,LOM,BERGAMASCA BRIDGE,Ordinario Sportivo,True,5,5.0,0.0,Nord-Ovest,84.0,0
BLD022 ,2018,2022,5,70.0,M,19.2,96.0,14.532721699667958,0.0,0.0,351.6,1758.0,0.0,0.0,0.0,NC,NC,False,False,PIE,BRIDGE TORINO,Ordinario Sportivo,True,3,0.0,0.0,Nord-Ovest,73.0,0
BLD032 ,2017,2021,5,82.0,M,39.4,197.0,25.22498761149349,200.0,1000.0,1364.2,6821.0,3.0,5.0,6.0,4C,3F,False,False,MAR,BRIDGE OSIMO,Ordinario Sportivo,True,4,2.0,0.1465845793022574,Centro,86.0,0
