MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BCN039 ,2017,2020,4,87.0,F,32.0,128.0,22.58317958127243,768.75,3075.0,12404.25,49617.0,9.0,6.0,9.0,2F,3Q,False,False,LAZ,APD FONTE ROMAEUR,Ordinario Sportivo,True,5,-3.0,0.06197347736708453,Centro,92.0,1
BCN040 ,2017,2020,4,99.0,F,15.25,61.0,11.926860441876563,0.0,0.0,324.5,1298.0,2.0,0.0,2.0,4Q,NC,False,False,LOM,TENNIS C.MILANO BONACOSSA ASD,Ordinario Amatoriale,True,5,-2.0,0.0,Nord-Ovest,104.0,1
BCN048 ,2017,2022,3,78.0,F,48.0,144.0,42.930175867331364,3400.0,10200.0,19650.0,58950.0,14.0,11.0,14.0,1Q,2C,False,True,LAZ,ASS.POLISPORTIVA DIL.PALOCCO,Ordinario Amatoriale,True,3,-3.0,0.17302505470645113,Centro,81.0,1
BCN055 ,2017,2017,1,76.0,F,5.0,5.0,0.0,0.0,0.0,179.0,179.0,6.0,6.0,6.0,3Q,3Q,False,False,UMB,BRIDGE TERNI,Ordinario Sportivo,True,8,0.0,0.0,Centro,84.0,1
BCP003 ,2017,2017,1,92.0,M,1.0,1.0,0.0,0.0,0.0,547.0,547.0,2.0,2.0,2.0,4Q,4Q,False,False,TRB,BRIDGE CLUB DRUSO,Ordinario Sportivo,True,8,0.0,0.0,Nord-Est,100.0,1
BCP006 ,2023,2024,2,97.0,M,14.0,28.0,7.0710678118654755,0.0,0.0,60.0,120.0,0.0,0.0,0.0,NC,NC,False,False,LOM,BRIDGE INSTITUTE 2000,Ordinario Amatoriale,True,1,0.0,0.0,Nord-Ovest,98.0,1
BCR020 ,2018,2018,1,88.0,F,11.0,11.0,0.0,150.0,150.0,2242.0,2242.0,3.0,3.0,3.0,4C,4C,False,False,SIC,ETNA BRIDGE SSD A R.L.,Ordinario Amatoriale,True,7,0.0,0.06687472135532768,Isole,95.0,1
BCR022 ,2018,2020,3,90.0,M,24.666666666666668,74.0,12.013880860626733,0.0,0.0,46.0,138.0,0.0,0.0,0.0,NC,NC,False,False,ABR,ASD C.LO BR. PESCARA RIVIERA,Ordinario Amatoriale,True,5,0.0,0.0,Centro,95.0,1
BCR034 ,2017,2019,3,62.0,M,2.6666666666666665,8.0,1.1547005383792515,3520.0,10560.0,4468.333333333333,13405.0,8.0,6.0,8.0,3P,3Q,False,True,CAM,BRIDGE PARTENOPE,Non Agonista,True,6,-2.0,0.7877069968670745,Sud,68.0,1
BCR063 ,2018,2018,1,80.0,M,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,NC,NC,False,False,VEN,VITTORIO VENETO,Ordinario Sportivo,True,7,0.0,0.0,Nord-Est,87.0,1
