Anno,Regione,Tesserati,Gare,Punti
2022,   ,30,639.0,46708.0
2022,ABR,142,6211.0,2223688.0
2022,BAS,20,89.0,132098.0
2022,CAB,201,7524.0,2887444.0
2022,CAM,381,17232.0,6266849.0
2022,EMI,1299,66418.0,19513915.0
2022,FRI,220,10076.0,2337701.0
2022,LAZ,2092,87608.0,29042103.0
2022,LIG,521,25836.0,10084202.0
2022,LOM,2305,91727.0,31144436.0
2022,MAR,519,26948.0,6509992.0
2022,MOL,7,301.0,20253.0
2022,PIE,984,55281.0,13339683.0
2022,PUG,334,10754.0,3918857.0
2022,SAR,447,24456.0,4150427.0
2022,SIC,765,50435.0,10389925.0
2022,TOS,1070,46152.0,15100915.0
2022,TRT,161,3584.0,696549.0
2022,UMB,190,4901.0,1453071.0
2022,VAO,35,1858.0,345515.0
2022,VEN,865,46553.0,12614899.0
2023,   ,34,965.0,33023.0
2023,ABR,189,7789.0,2404256.0
2023,BAS,21,323.0,133344.0
2023,CAB,220,5461.0,3000034.0
2023,CAM,395,15408.0,7357856.0
2023,EMI,1334,67812.0,19838073.0
2023,FIB,1,1.0,0.0
2023,FRI,249,10334.0,2514179.0
2023,LAZ,2140,81887.0,29704042.0
2023,LIG,556,22190.0,11097700.0
2023,LOM,2317,91795.0,32749611.0
2023,MAR,547,20996.0,6964022.0
2023,MOL,6,43.0,15217.0
2023,PIE,1081,55954.0,14966315.0
2023,PUG,374,11088.0,4186567.0
2023,SAR,500,22477.0,4390382.0
2023,SIC,788,50354.0,11219429.0
2023,TOS,1060,49255.0,16300147.0
2023,TRT,142,3186.0,711560.0
2023,UMB,200,6965.0,1637841.0
2023,VAO,38,1852.0,376321.0
2023,VEN,889,44608.0,12912145.0
2024,   ,39,1300.0,6547.0
2024,ABR,180,6454.0,2731419.0
2024,BAS,22,240.0,134973.0
2024,CAB,255,8411.0,3235854.0
2024,CAM,402,15438.0,7564438.0
2024,EMI,1392,70334.0,19856825.0
2024,FIB,9,11.0,259.0
2024,FRI,219,11193.0,2453912.0
2024,LAZ,2173,86722.0,29920048.0
2024,LIG,538,21115.0,11286412.0
2024,LOM,2335,92473.0,33520863.0
2024,MAR,571,23964.0,7316357.0
2024,MOL,3,20.0,8640.0
2024,PIE,1105,57042.0,15535566.0
2024,PUG,428,12632.0,4261624.0
2024,SAR,530,23909.0,4702685.0
2024,SIC,808,51163.0,12056357.0
2024,TOS,1135,51975.0,17175724.0
2024,TRT,145,3276.0,729052.0
2024,UMB,195,7679.0,1530045.0
2024,VAO,33,1828.0,400071.0
2024,VEN,944,47811.0,13960331.0
2025,   ,27,537.0,71360.0
2025,ABR,194,7779.0,2930172.0
2025,BAS,20,206.0,130494.0
2025,CAB,281,10416.0,3336242.0
2025,CAM,384,14325.0,7178613.0
2025,EMI,1413,69840.0,21618142.0
2025,FIB,66,124.0,1482.0
2025,FRI,244,11470.0,2650412.0
2025,LAZ,2159,91489.0,30663784.0
2025,LIG,514,21556.0,11361883.0
2025,LOM,2380,96140.0,34861164.0
2025,MAR,570,22447.0,7833825.0
2025,MOL,2,21.0,6812.0
2025,PIE,1139,58698.0,16222954.0
2025,PUG,470,13150.0,4556136.0
2025,SAR,573,29059.0,4818497.0
2025,SIC,813,55173.0,12941083.0
2025,TOS,1125,49592.0,17888067.0
2025,TRT,138,3596.0,1032650.0
2025,UMB,184,7246.0,1471342.0
2025,VAO,34,1798.0,421344.0
2025,VEN,930,48473.0,14118769.0
