Anno,FasciaEta,Sesso,Tesserati,GareMediane,PuntiMedi
2020,40-50,F,74,15.486486486486486,16722.445945945947
2020,40-50,M,144,15.479166666666666,17076.305555555555
2020,50-60,0,0,,
2020,50-60,2,0,,
2020,50-60,F,390,17.74871794871795,13452.192307692309
2020,50-60,M,455,16.353846153846153,16504.428571428572
2020,60-70,0,0,,
2020,60-70,2,0,,
2020,60-70,F,1508,19.740716180371354,12561.244694960213
2020,60-70,M,1468,19.880790190735695,16844.072207084468
2020,70-80,0,0,,
2020,70-80,2,0,,
2020,70-80,F,2793,18.406373075546007,10798.075187969926
2020,70-80,M,3280,19.442073170731707,14926.23506097561
2020,80-90,0,0,,
2020,80-90,2,0,,
2020,80-90,F,2274,18.750219876868954,7448.606420404573
2020,80-90,M,2093,18.193979933110366,11400.901576684186
2020,90+,0,0,,
2020,90+,2,0,,
2020,90+,F,435,17.577011494252872,5313.859770114943
2020,90+,M,341,14.856304985337243,7777.16715542522
2021,<18,0,0,,
2021,<18,2,0,,
2021,<18,F,16,5.6875,695.625
2021,<18,M,28,11.571428571428571,200.75
2021,18-30,0,0,,
2021,18-30,2,0,,
2021,18-30,F,38,29.94736842105263,7263.394736842105
2021,18-30,M,74,20.08108108108108,11131.932432432432
2021,30-40,0,0,,
2021,30-40,2,0,,
2021,30-40,F,41,29.317073170731707,18212.60975609756
2021,30-40,M,119,35.84033613445378,14952.01680672269
2021,40-50,0,0,,
2021,40-50,2,0,,
2021,40-50,F,79,44.9746835443038,16688.53164556962
2021,40-50,M,149,33.422818791946305,16751.087248322146
2021,50-60,0,0,,
2021,50-60,2,0,,
2021,50-60,F,369,41.859078590785906,14041.617886178861
2021,50-60,M,407,38.6044226044226,16880.78624078624
2021,60-70,0,0,,
2021,60-70,2,0,,
2021,60-70,F,1321,48.4996214988645,13512.798637395912
2021,60-70,M,1309,46.50420168067227,17360.380443086324
2021,70-80,0,0,,
2021,70-80,2,0,,
2021,70-80,F,2051,46.705997074597754,13065.844953681131
2021,70-80,M,2580,49.37286821705426,16779.04651162791
2021,80-90,0,0,,
2021,80-90,2,0,,
2021,80-90,F,1406,38.741109530583216,9148.241820768137
2021,80-90,M,1324,39.43957703927492,12571.089879154079
2021,90+,0,0,,
2021,90+,2,0,,
2021,90+,F,197,35.142131979695435,6589.33502538071
2021,90+,M,141,27.177304964539008,8916.106382978724
2022,<18,0,0,,
2022,<18,2,0,,
2022,<18,F,14,15.071428571428571,859.2142857142857
2022,<18,M,31,20.677419354838708,834.1935483870968
2022,18-30,0,0,,
2022,18-30,2,0,,
2022,18-30,F,48,23.708333333333332,10668.3125
2022,18-30,M,76,21.86842105263158,13750.592105263158
2022,30-40,0,0,,
2022,30-40,2,0,,
2022,30-40,F,47,21.914893617021278,19926.127659574468
2022,30-40,M,107,36.91588785046729,18360.69158878505
2022,40-50,0,0,,
2022,40-50,2,0,,
2022,40-50,F,91,36.714285714285715,16253.57142857143
2022,40-50,M,135,30.074074074074073,19921.68888888889
2022,50-60,0,0,,
2022,50-60,2,0,,
2022,50-60,F,409,40.36430317848411,13454.63325183374
2022,50-60,M,432,38.664351851851855,17627.71064814815
2022,60-70,0,0,,
2022,60-70,2,0,,
2022,60-70,F,1426,49.02524544179523,13456.578541374474
2022,60-70,M,1402,49.61911554921541,17521.199001426532
2022,70-80,0,0,,
2022,70-80,2,0,,
2022,70-80,F,2261,47.37328615656789,12463.954002653692
2022,70-80,M,2750,50.04981818181818,16563.604727272726
2022,80-90,0,0,,
2022,80-90,2,0,,
2022,80-90,F,1570,45.95732484076433,8560.609554140128
2022,80-90,M,1448,45.55939226519337,11731.226519337017
2022,90+,0,0,,
2022,90+,2,0,,
2022,90+,F,195,40.805128205128206,6316.297435897436
2022,90+,M,139,35.64748201438849,8516.899280575539
2023,<18,0,0,,
2023,<18,2,0,,
2023,<18,F,18,9.666666666666666,484.8333333333333
2023,<18,M,30,16.266666666666666,1153.9333333333334
2023,18-30,0,0,,
2023,18-30,2,0,,
2023,18-30,F,67,15.194029850746269,9087.492537313432
2023,18-30,M,95,18.54736842105263,13293.17894736842
2023,30-40,0,0,,
2023,30-40,2,0,,
2023,30-40,F,48,19.5,20604.645833333332
2023,30-40,M,111,29.945945945945947,19167.477477477478
2023,40-50,0,0,,
2023,40-50,2,0,,
2023,40-50,F,116,24.92241379310345,14470.73275862069
2023,40-50,M,151,28.655629139072847,19028.953642384105
2023,50-60,0,0,,
2023,50-60,2,0,,
2023,50-60,F,452,36.4712389380531,13530.134955752212
2023,50-60,M,470,36.680851063829785,17349.2085106383
2023,60-70,0,0,,
2023,60-70,2,0,,
2023,60-70,F,1536,44.33203125,13522.450520833334
2023,60-70,M,1552,45.31829896907217,17590.11726804124
2023,70-80,0,0,,
2023,70-80,2,0,,
2023,70-80,F,2381,44.59806803863923,12578.827383452332
2023,70-80,M,2849,47.53001053001053,16957.979992979992
2023,80-90,0,0,,
2023,80-90,2,0,,
2023,80-90,F,1516,46.144459102902374,8612.926781002638
2023,80-90,M,1399,43.192994996426016,12127.594710507505
2023,90+,0,0,,
2023,90+,2,0,,
2023,90+,F,162,43.407407407407405,7278.469135802469
2023,90+,M,122,38.040983606557376,8569.459016393443
2024,<18,0,0,,
2024,<18,2,0,,
2024,<18,F,41,9.097560975609756,361.609756097561
2024,<18,M,95,8.642105263157895,622.9052631578948
2024,18-30,0,0,,
2024,18-30,2,0,,
2024,18-30,F,53,16.88679245283019,13790.433962264151
2024,18-30,M,88,21.568181818181817,16590.534090909092
2024,30-40,0,0,,
2024,30-40,2,0,,
2024,30-40,F,45,20.488888888888887,24148.066666666666
2024,30-40,M,117,33.30769230769231,18456.478632478633
2024,40-50,0,0,,
2024,40-50,2,0,,
2024,40-50,F,122,28.311475409836067,14023.016393442624
2024,40-50,M,165,29.806060606060605,19104.545454545456
2024,50-60,0,0,,
2024,50-60,2,0,,
2024,50-60,F,530,35.33396226415094,12432.779245283018
2024,50-60,M,520,35.81153846153846,17403.00576923077
2024,60-70,0,0,,
2024,60-70,2,0,,
2024,60-70,F,1698,43.68610129564193,13077.359246171967
2024,60-70,M,1653,45.990925589836664,17732.379915305504
2024,70-80,0,0,,
2024,70-80,2,0,,
2024,70-80,F,2407,45.97091815538014,12789.215205650187
2024,70-80,M,2914,47.751544269045986,16921.401853122854
2024,80-90,0,0,,
2024,80-90,2,0,,
2024,80-90,F,1463,47.71565276828435,8688.516062884484
2024,80-90,M,1304,46.06901840490798,12448.864263803682
2024,90+,0,0,,
2024,90+,2,0,,
2024,90+,F,139,44.906474820143885,6763.697841726619
2024,90+,M,102,40.28431372549019,8589.656862745098
2025,<18,0,0,,
2025,<18,2,0,,
2025,<18,F,37,7.5675675675675675,394.5945945945946
2025,<18,M,94,8.76595744680851,819.7765957446809
2025,18-30,0,0,,
2025,18-30,2,0,,
2025,18-30,F,58,15.206896551724139,14697.258620689656
2025,18-30,M,86,22.662790697674417,18941.13953488372
2025,30-40,0,0,,
2025,30-40,2,0,,
2025,30-40,F,55,16.4,21542.78181818182
2025,30-40,M,115,32.06086956521739,20053.104347826087
2025,40-50,0,0,,
2025,40-50,2,0,,
2025,40-50,F,125,27.704,15256.912
2025,40-50,M,176,31.852272727272727,19328.5625
2025,50-60,0,0,,
2025,50-60,2,0,,
2025,50-60,F,613,34.95432300163132,11520.332789559543
2025,50-60,M,574,37.01742160278746,17150.337979094078
2025,60-70,0,0,,
2025,60-70,2,0,,
2025,60-70,F,1865,44.38176943699732,12810.88418230563
2025,60-70,M,1780,46.77752808988764,17808.36011235955
2025,70-80,0,0,,
2025,70-80,2,0,,
2025,70-80,F,2404,46.5212146422629,13141.717138103162
2025,70-80,M,2879,49.32337617228204,17657.00798888503
2025,80-90,0,0,,
2025,80-90,2,0,,
2025,80-90,F,1353,48.439763488543974,9094.30229120473
2025,80-90,M,1207,48.27174813587407,13075.24772162386
2025,90+,0,0,,
2025,90+,2,0,,
2025,90+,F,104,52.76923076923077,7577.384615384615
2025,90+,M,78,45.96153846153846,11190.166666666666
