Circolo,NomeCircolo,Regione,AllievoSB,RimastiSB,Convertiti,Persi,GareMedie,TassoConversione,TassoSuccesso,TassoChurn
S0532,BR.ASS.COMOCANTUHELIOS,Lombardia,99,53,13,33,10.526825396825396,13.1,66.7,33.3
S0539,NUOVO BRIDGE INSIEME,Lazio,56,29,7,20,20.977777777777778,12.5,64.3,35.7
S0546,"C.LO DEL BRIDGE FI ""CAMILLO PABIS TICCI""",Toscana,93,53,23,17,15.321716105245518,24.7,81.7,18.3
S0546,CIRCOLO DEL BRIDGE FI,Toscana,43,28,9,6,11.160049019607845,20.9,86.0,14.0
S0558,QUARTU S.ELENA BR.,Sardegna,32,17,8,7,38.50972222222222,25.0,78.1,21.9
S0559,BRIDGE MARTINA,Puglia,32,20,4,8,21.966239316239317,12.5,75.0,25.0
S0566,CIRCOLO BRIDGE CAGLI,Marche,79,39,11,29,19.793638224520578,13.9,63.3,36.7
S0576,C.TENNIS E DELLA VELA ASD,Sicilia,98,56,26,16,29.269449157868273,26.5,83.7,16.3
S0577,BRIDGE 3A S.S.D. A R.L.,Lazio,73,39,14,20,26.261363636363637,19.2,72.6,27.4
S0578,BRIDGE FARNESE PIACENZA,Emilia-Romagna,138,84,19,35,43.02102208507007,13.8,74.6,25.4
S0583,ASD TENNIS ROMA,Lazio,6,1,3,2,31.333333333333332,50.0,66.7,33.3
S0584,BRIDGE VILLA BORGHESE,Lazio,5,0,2,3,22.4,40.0,40.0,60.0
S0585,MONDELLO BRIDGE ASD,Sicilia,77,27,12,38,35.09249226006192,15.6,50.6,49.4
S0588,C.LO CITTADINO VERONA BRIDGE,Veneto,107,55,25,27,11.270057720057721,23.4,74.8,25.2
S0594,BRIDGE EREMITANI ASD,Veneto,25,11,7,7,19.662698412698415,28.0,72.0,28.0
S0594,CIRCOLO EREMITANI,Veneto,80,26,28,26,22.986058897243108,35.0,67.5,32.5
S0596,VIAREGGIO VERSILIA BR. A.S.D.,Toscana,57,19,15,23,34.15,26.3,59.6,40.4
S0598,OLGIATA GOLF CLUB A.D.,Lazio,11,7,3,1,23.0,27.3,90.9,9.1
S0605,BRIDGE CLUB PETRARCA,Campania,8,2,2,4,31.0,25.0,50.0,50.0
S0606,DUE FIORI BRIDGE,Campania,38,22,3,13,8.715534465534466,7.9,65.8,34.2
S0624,SPORT CLUB  DIL. RAPID,Emilia-Romagna,83,44,18,21,20.228522403522405,21.7,74.7,25.3
S0635,C.PORTA SUSA A.S.D.,Piemonte,247,141,25,81,33.75814068353003,10.1,67.2,32.8
S0635,PORTA SUSA ASD,Piemonte,23,15,7,1,64.17391304347827,30.4,95.7,4.3
S0637,ASSI NEL MONDO,Lazio,24,16,6,2,11.958333333333334,25.0,91.7,8.3
S0640,QUELLI CHE IL BRIDGE ...,Lombardia,17,8,4,5,24.388888888888886,23.5,70.6,29.4
S0642,BRIDGE CITTA' DEL TRICOLORE,Emilia-Romagna,10,4,0,6,2.7,0.0,40.0,60.0
S0644,ACCADEMIA DEL BRIDGE,Lazio,65,24,9,32,18.270764790764794,13.8,50.8,49.2
S0646,TENNIS CLUB GENOVA 1893 ASD,Liguria,30,16,7,7,5.200892857142858,23.3,76.7,23.3
S0662,RAVENNA BRIDGE,Emilia-Romagna,215,134,33,48,33.84110356437943,15.3,77.7,22.3
S0663,TENNIS CLUB PAVIA ASD,Lombardia,6,2,3,1,3.8333333333333335,50.0,83.3,16.7
S0672,CIRCOLO BRIDGE 2000,Lombardia,37,12,7,18,4.787581699346405,18.9,51.4,48.6
S0674,ALESSANDRIA BRIDGE A.S.D.,Piemonte,64,36,14,14,31.03299835085549,21.9,78.1,21.9
S0680,BRIDGE CONVIVIUM,Sicilia,46,27,10,9,34.37576923076923,21.7,80.4,19.6
S0694,FERRARA  BRIDGE E BURRACO,Emilia-Romagna,36,18,11,7,17.203809523809525,30.6,80.6,19.4
S0695,PALLADIO BRIDGE,Veneto,17,10,0,7,8.955555555555556,0.0,58.8,41.2
S0699,BRIDGE ARCOBALENO,Campania,6,5,0,1,19.333333333333332,0.0,83.3,16.7
S0711,ASD CIRCOLO BOCCIOFILA LIDO,Liguria,137,61,32,44,18.505072656388446,23.4,67.9,32.1
S0713,HELVIA CLUANA,Marche,18,9,0,9,6.458333333333333,0.0,50.0,50.0
S0714,POGGIO BRIDGE,Sardegna,68,35,17,16,33.18689123376623,25.0,76.5,23.5
S0715,ARCA BRIDGE ASD,Lombardia,14,10,0,4,5.357142857142857,0.0,71.4,28.6
S0716,C.LO CANOTTIERI NAPOLI A.S.D.,Campania,17,7,1,9,13.152777777777779,5.9,47.1,52.9
S0718,ARBAREE BRIDGE,Sardegna,9,2,2,5,17.333333333333332,22.2,44.4,55.6
S0719,IL BRIDGE,Lombardia,142,53,27,62,9.535977186573556,19.0,56.3,43.7
S0722,ETNA BRIDGE ASD,Sicilia,94,41,24,29,31.284920634920635,25.5,69.1,30.9
S0722,ETNA BRIDGE SSD A R.L.,Sicilia,57,24,12,21,23.76908866995074,21.1,63.2,36.8
S0723,GLI SPORT DELLA MENTE ASD,Umbria,20,6,9,5,21.523809523809526,45.0,75.0,25.0
S0726,APD TENNIS CLUB PRESIDENT,Emilia-Romagna,10,5,0,5,18.4,0.0,50.0,50.0
S0727,BRIDGE CLUB DELFINI JONICI,Puglia,128,74,24,30,18.83184176934177,18.8,76.6,23.4
S0729,ARCADIA BENBRIDGE SSD A R.L.,Lazio,416,231,79,106,25.627747953247752,19.0,74.5,25.5
S0730,LATINA PROGETTO BRIDGE,Lazio,62,20,22,20,20.49461038961039,35.5,67.7,32.3
S0731,M. AMMENDOLIA ASD,Sicilia,45,16,14,15,17.826923076923077,31.1,66.7,33.3
S0734,CIRCOLO TEVERE BRIDGE A.S.D.,Lazio,208,96,42,70,16.004036665758623,20.2,66.3,33.7
S0737,MOTO CLUB MILANO SSD A RL,Lombardia,77,35,7,35,4.126376811594203,9.1,54.5,45.5
S0738,OPEN BEACH MILANO SSD A RL,Lombardia,84,31,11,42,14.697018870244023,13.1,50.0,50.0
S0740,ASD GOLF CLUB VILLA CAROLINA,Piemonte,12,0,11,1,4.014285714285714,91.7,91.7,8.3
S0741,NUOVO TUSCOLO SP.CL.SSD A RL,Lazio,59,27,17,15,9.024007936507937,28.8,74.6,25.4
S0744,EQUILIUM VENEZIA ASD,Veneto,46,25,1,20,10.396666666666667,2.2,56.5,43.5
S0745,CECINA BRIDGE,Toscana,91,43,29,19,11.431866224053724,31.9,79.1,20.9
S0747,B.RIVIERA PALME S.BENEDETTO T.,Marche,5,0,2,3,2.8,40.0,40.0,60.0
S0750,BRIDGE FIOCCHI ASD,Lombardia,48,20,2,26,3.1907020872865273,4.2,45.8,54.2
S0753,BRIDGE SELARGIUS,Sardegna,266,169,52,45,34.43609193690708,19.5,83.1,16.9
S0754,BRIDGE CUSANO MILANINO,Lombardia,59,19,30,10,31.959920634920636,50.8,83.1,16.9
S0756,BRIDGE  TACITUS,Umbria,13,5,5,3,8.35,38.5,76.9,23.1
S0758,CASTELVECCHIO VERONA,Veneto,16,7,0,9,1.375,0.0,43.8,56.2
S0762,ASD C.LO BR. PESCARA RIVIERA,Abruzzo,104,56,8,40,16.919851983855743,7.7,61.5,38.5
S0766,CENTOBUCHI BRIDGE,Marche,41,15,12,14,15.570833333333333,29.3,65.9,34.1
S0768,ASD CITTA' DI LECCO,Lombardia,20,11,6,3,16.739285714285714,30.0,85.0,15.0
S0769,IL CLUBINO BRIDGE NAPOLI,Campania,44,28,13,3,18.83076923076923,29.5,93.2,6.8
S0770,C.LO TENNIS GALATINA ASD,Puglia,14,0,0,14,1.4285714285714286,0.0,0.0,100.0
S0771,ASS.POLISPORTIVA DIL.PALOCCO,Lazio,14,2,0,12,7.285714285714286,0.0,14.3,85.7
S0773,PERUGIA BRIDGE,Umbria,30,13,7,10,9.428571428571429,23.3,66.7,33.3
S0775,DOMUS NAONIS-ROBERTO RICCIO A.S.D.,Friuli-Venezia Giulia,21,10,3,8,22.644444444444442,14.3,61.9,38.1
S0778,C.LO DEL BRIDGE MONOPOLI,Puglia,35,20,11,4,16.234285714285715,31.4,88.6,11.4
S0781,TERAMO BRIDGE,Abruzzo,17,12,3,2,21.15972222222222,17.6,88.2,11.8
S0786,IL MIO BRIDGE,Lombardia,50,32,9,9,42.882738095238096,18.0,82.0,18.0
S0787,REALEBRIDGE,Lazio,70,38,12,20,13.130409788946373,17.1,71.4,28.6
S0789,NOI BRIDGE ASD,Lazio,59,21,18,20,21.943646996278574,30.5,66.1,33.9
S0791,REALE C.LO CANOTTIERI TEVERE REMO ASD,Lazio,12,6,0,6,3.9166666666666665,0.0,50.0,50.0
S0792,ANZIO &  NETTUNO BRIDGE CLUB ASD,Lazio,22,8,3,11,5.308333333333334,13.6,50.0,50.0
S0793,OSTIA BRIDGE,Lazio,40,32,1,7,10.155172413793103,2.5,82.5,17.5
S0796,NUOVA ARCADIA BRIDGE,Lazio,51,26,13,12,33.93338815789474,25.5,76.5,23.5
S1601,CIRCOLO BRIDGE CATANIA,Sicilia,40,23,0,17,9.650475341651811,0.0,57.5,42.5
