MmbCode,Eta,GareMedie,AnniPresenza,EngagementScore,RischioChurn,Regione
PCN078 ,83.0,49.111111111111114,9,45.448586504269514,ALTO,VEN
SRL100 ,75.0,23.0,8,45.45649683253393,ALTO,TOS
LNN277 ,66.0,23.88888888888889,9,45.45801458711442,ALTO,PUG
BRN988 ,89.0,63.333333333333336,9,45.458065825906885,ALTO,EMI
MSM014 ,80.0,56.111111111111114,9,45.458265527215495,ALTO,CAB
BNR073 ,56.0,56.125,8,45.46000829986808,ALTO,PUG
LSR035 ,87.0,46.77777777777778,9,45.47497995256378,ALTO,SIC
CPN003 ,68.0,37.666666666666664,9,45.48062340127401,ALTO,SAR
BRM001 ,82.0,95.88888888888889,9,45.48573540047356,ALTO,VEN
CHL007 ,83.0,57.77777777777778,9,45.492329712819824,ALTO,MAR
RMS015 ,73.0,51.22222222222222,9,45.49735662947703,ALTO,LIG
GDR018 ,78.0,48.666666666666664,9,45.497453729420904,ALTO,CAM
DLL422 ,85.0,34.888888888888886,9,45.498489858069306,ALTO,LAZ
FRR624 ,57.0,6.0,1,45.5017583207739,ALTO,CAM
MRC568 ,18.0,2.0,1,45.50230620647082,ALTO,VEN
PLH004 ,18.0,2.0,1,45.50230620647082,ALTO,VEN
MZL128 ,74.0,35.111111111111114,9,45.50382865431121,ALTO,VEN
GGT019 ,79.0,31.444444444444443,9,45.50524600361486,ALTO,LIG
PGC008 ,76.0,82.22222222222223,9,45.50971782259431,ALTO,LIG
PND062 ,74.0,27.444444444444443,9,45.5104693888762,ALTO,SAR
DLL423 ,66.0,55.55555555555556,9,45.510575167934846,ALTO,EMI
CHS010 ,62.0,107.77777777777777,9,45.51720000127908,ALTO,LAZ
RSR260 ,85.0,99.55555555555556,9,45.517467341620474,ALTO,EMI
GZN027 ,91.0,47.0,9,45.51770636352339,ALTO,LAZ
FCL055 ,41.0,24.0,1,45.52069629891593,ALTO,EMI
GSN010 ,81.0,79.88888888888889,9,45.52080099855834,ALTO,PIE
TRM022 ,70.0,38.44444444444444,9,45.521594890538225,ALTO,CAM
MLZ021 ,64.0,97.88888888888889,9,45.52615221788101,ALTO,LAZ
GRT057 ,86.0,115.33333333333333,9,45.52697709795693,ALTO,LOM
CMC066 ,73.0,58.666666666666664,9,45.529011415139685,ALTO,PIE
SRR162 ,76.0,65.5,8,45.529571092798335,ALTO,LAZ
GRN523 ,71.0,22.22222222222222,9,45.530505837867636,ALTO,CAM
FSN079 ,55.0,38.625,8,45.532923881045676,ALTO,LIG
BRG181 ,79.0,94.22222222222223,9,45.53341566976613,ALTO,EMI
CMT058 ,55.0,27.4,5,45.54213539298075,ALTO,TOS
PLD095 ,80.0,26.555555555555557,9,45.54779533511942,ALTO,PIE
CMN029 ,85.0,63.75,8,45.56909580429914,ALTO,UMB
GDR031 ,57.0,117.375,8,45.569325258274525,ALTO,LAZ
RZZ011 ,82.0,79.88888888888889,9,45.57282789345635,ALTO,SIC
CRP020 ,69.0,26.0,9,45.577436760204186,ALTO,SIC
GNR158 ,74.0,20.444444444444443,9,45.57848879767835,ALTO,LAZ
KWY002 ,77.0,10.428571428571429,7,45.5796534577292,ALTO,VEN
MDZ012 ,59.0,39.111111111111114,9,45.58746789758577,ALTO,LOM
VLZ060 ,71.0,57.111111111111114,9,45.58965714502688,ALTO,TOS
CTG003 ,84.0,92.66666666666667,9,45.600712041314786,ALTO,LAZ
CLR068 ,68.0,45.888888888888886,9,45.617500914440605,ALTO,LOM
FLN005 ,78.0,126.11111111111111,9,45.62585091548614,ALTO,EMI
MRZ111 ,65.0,51.22222222222222,9,45.62736555082942,ALTO,MAR
BGT012 ,81.0,107.66666666666667,9,45.62779848044229,ALTO,VEN
RDL057 ,78.0,61.77777777777778,9,45.62887357732136,ALTO,EMI
PNS054 ,66.0,15.0,1,45.630744861447546,ALTO,EMI
RLL016 ,83.0,7.8,5,45.634427164578746,ALTO,FRI
DBN025 ,76.0,74.55555555555556,9,45.63632975473827,ALTO,PIE
PRN361 ,90.0,127.88888888888889,9,45.65190122420783,ALTO,PIE
VLL093 ,82.0,102.88888888888889,9,45.6567690578625,ALTO,VEN
LVT014 ,69.0,43.666666666666664,9,45.66002486775572,ALTO,LAZ
DGL068 ,75.0,59.333333333333336,9,45.66413292983198,ALTO,LAZ
FRL186 ,58.0,50.55555555555556,9,45.66962100795304,ALTO,TOS
GHL020 ,84.0,59.0,9,45.67016935427699,ALTO,LOM
DLT028 ,70.0,8.0,6,45.6718944309808,ALTO,TOS
FLR025 ,72.0,86.22222222222223,9,45.67459361965838,ALTO,SIC
SCL074 ,78.0,31.375,8,45.67631477078147,ALTO,LAZ
BLR115 ,83.0,52.22222222222222,9,45.678072187359334,ALTO,LOM
TLN015 ,76.0,136.75,8,45.680309458850274,ALTO,LAZ
